"generation","model","heterozygosity_loss","effective_ne","panel"
17,"Diploid arrhenotoky",-0.058160128904729,8.59695481107067,"a"
18,"Diploid arrhenotoky",-0.0581626985937469,8.59657498859166,"a"
19,"Diploid arrhenotoky",-0.058164986784735,8.59623680222724,"a"
20,"Diploid arrhenotoky",-0.058165424036138,8.59617218107705,"a"
21,"Diploid arrhenotoky",-0.0581659028405825,8.59610141993959,"a"
22,"Diploid arrhenotoky",-0.0581659722399126,8.59609116370804,"a"
23,"Diploid arrhenotoky",-0.0581660736661187,8.59607617440484,"a"
24,"Diploid arrhenotoky",-0.0581660832591937,8.596074756692,"a"
25,"Diploid arrhenotoky",-0.0581661050301274,8.59607153927571,"a"
26,"Diploid arrhenotoky",-0.0581661059228651,8.59607140734257,"a"
27,"Diploid arrhenotoky",-0.0581661106611625,8.59607070709388,"a"
28,"Diploid arrhenotoky",-0.0581661105926088,8.59607071722508,"a"
29,"Diploid arrhenotoky",-0.0581661116385624,8.59607056264896,"a"
30,"Diploid arrhenotoky",-0.0581661115650101,8.59607057351889,"a"
31,"Diploid arrhenotoky",-0.0581661117991644,8.59607053891443,"a"
32,"Diploid arrhenotoky",-0.0581661117698974,8.59607054323965,"a"
33,"Diploid arrhenotoky",-0.0581661118230322,8.59607053538713,"a"
34,"Diploid arrhenotoky",-0.0581661118136251,8.59607053677736,"a"
35,"Diploid arrhenotoky",-0.0581661118258371,8.59607053497261,"a"
36,"Diploid arrhenotoky",-0.0581661118230854,8.59607053537927,"a"
37,"Diploid arrhenotoky",-0.0581661118259251,8.5960705349596,"a"
38,"Diploid arrhenotoky",-0.0581661118251612,8.5960705350725,"a"
39,"Diploid arrhenotoky",-0.0581661118258284,8.59607053497389,"a"
40,"Diploid arrhenotoky",-0.0581661118256231,8.59607053500423,"a"
41,"Diploid arrhenotoky",-0.0581661118257812,8.59607053498086,"a"
42,"Diploid arrhenotoky",-0.0581661118257273,8.59607053498884,"a"
43,"Diploid arrhenotoky",-0.0581661118257653,8.59607053498322,"a"
44,"Diploid arrhenotoky",-0.0581661118257512,8.59607053498531,"a"
45,"Diploid arrhenotoky",-0.0581661118257604,8.59607053498395,"a"
46,"Diploid arrhenotoky",-0.0581661118257568,8.59607053498447,"a"
47,"Diploid arrhenotoky",-0.0581661118257588,8.59607053498418,"a"
48,"Diploid arrhenotoky",-0.0581661118257579,8.59607053498431,"a"
49,"Diploid arrhenotoky",-0.0581661118257585,8.59607053498423,"a"
50,"Diploid arrhenotoky",-0.0581661118257584,8.59607053498424,"a"
2,"Haplo-diploidy",-0.25,2,"b"
3,"Haplo-diploidy",-0.166041666666667,3.01129234629861,"b"
4,"Haplo-diploidy",-0.196820116806926,2.54039072891356,"b"
5,"Haplo-diploidy",-0.178972580438397,2.79372403736505,"b"
6,"Haplo-diploidy",-0.170274037346599,2.93644297035273,"b"
7,"Haplo-diploidy",-0.14400051348335,3.47220984081986,"b"
8,"Haplo-diploidy",-0.107355935415432,4.65740434439106,"b"
9,"Haplo-diploidy",-0.0657279366160717,7.60711541761286,"b"
10,"Haplo-diploidy",-0.0399598201787517,12.5125688194631,"b"
11,"Haplo-diploidy",-0.0372438800279409,13.4250244503229,"b"
12,"Haplo-diploidy",-0.0452739746371039,11.0438724235674,"b"
